299.2108	3.16E+03	8.50E-06	0	4.1424855	2	4
299.2215	2.12E+03	2.85E-06	0	4.1423407	2	2
303.4751	6.74E+03	1.86E-05	0	4.0842783	2	4
303.4911	4.78E+03	6.60E-06	0	4.0840647	2	2
310.1791	1.62E+04	4.66E-05	0	3.996024	2	4
310.2051	1.22E+04	1.76E-05	0	3.995693	2	2
321.7151	5.01E+04	1.55E-04	0	3.852735	2	4
321.7615	4.00E+04	6.22E-05	0	3.852177	2	2
344.6376	1.65E+05	5.89E-04	0	3.596498	2	4
344.7376	1.45E+05	2.58E-04	0	3.595451	2	2
404.4136	1.15E+06	5.67E-03	0	3.0649066	2	4
404.7208	1.07E+06	2.63E-03	0	3.062581	2	2
474.0914	8.00E+04	2.70E-04	1.6099578435	4.22441928	2	2
474.4345	9.80E+04	6.60E-04	1.6099578435	4.22253462	2	4
475.3934	1.60E+05	2.70E-04	1.6171130092	4.22441928	4	2
475.7389	1.20E+05	6.10E-04	1.6171130092	4.22253048	4	6
478.6491	1.03E+05	3.54E-04	1.6099578435	4.19952815	2	2
479.1049	1.30E+05	9.00E-04	1.6099578435	4.19706867	2	4
479.9754	2.07E+05	3.58E-04	1.6171130092	4.19952815	4	2
480.4348	1.60E+05	8.30E-04	1.6171130092	4.19706295	4	6
484.9865	1.87E+05	6.60E-04	1.6099578435	4.16569049	2	2
485.609	2.10E+05	1.49E-03	1.6099578435	4.162413	2	4
486.3483	3.70E+05	6.56E-04	1.6171130092	4.16569049	4	2
486.9757	2.61E+05	1.39E-03	1.6171130092	4.16240485	4	6
494.2002	2.69E+05	9.86E-04	1.6099578435	4.11803927	2	2
495.0815	2.69E+05	1.98E-03	1.6099578435	4.11357655	2	4
495.61461	5.32E+05	9.81E-04	1.6171130092	4.11803927	4	2
496.5031	3.36E+05	1.86E-03	1.6171130092	4.11356434	4	6
508.4226	4.07E+05	1.58E-03	1.6099578435	4.04787964	2	2
509.7171	3.39E+05	2.65E-03	1.6099578435	4.04169191	2	4
509.92	8.06E+05	1.57E-03	1.6171130092	4.04787964	4	2
511.2249	4.22E+05	2.48E-03	1.6171130092	4.04167262	4	6
532.3276	6.62E+05	2.81E-03	1.6099578435	3.9384048	2	2
533.9688	1.31E+06	2.80E-03	1.6171130092	3.9384048	4	2
534.297	3.86E+05	3.30E-03	1.6099578435	3.9298237	2	4
535.9574	4.86E+05	3.14E-03	1.6171130092	3.9297908	4	6
578.2384	1.19E+06	5.95E-03	1.6099578435	3.7535285	2	2
580.1752	2.35E+06	5.93E-03	1.6171130092	3.7535285	4	2
581.2148	2.86E+05	2.90E-03	1.6099578435	3.7425557	2	4
583.1887	3.71E+05	2.84E-03	1.6171130092	3.7424933	4	6
691.1084	2.50E+06	1.79E-02	1.6099578435	3.4034543	2	2
693.6284	1.90E+04	2.70E-04	1.6099578435	3.3969373	2	4
693.8767	4.96E+06	1.79E-02	1.6171130092	3.4034543	4	2
696.418	2.40E+03	1.70E-05	1.6171130092	3.3969373	4	4
696.4672	1.37E+04	1.49E-04	1.6171130092	3.3968046	4	6
766.489913	3.78E+07	6.66E-01	0	1.6171130092	2	4
769.896456	3.73E+07	3.32E-01	0	1.6099578435	2	2
825.018	6.40E+04	6.50E-04	2.66996	4.172356	6	6
825.018	9.60E+05	1.30E-02	2.66996	4.172356	6	8
825.174	8.90E+05	1.40E-02	2.6702462	4.172356	4	6
839.022	2.71E+04	5.73E-04	2.6069601	4.0842783	2	4
841.754	4.81E+04	3.41E-04	2.66996	4.1424855	6	4
842	5.25E+04	2.79E-04	2.6702462	4.1423407	4	2
850.345	8.80E+04	9.54E-04	2.66996	4.127608	6	6
850.345	1.32E+06	1.91E-02	2.66996	4.127608	6	8
850.511	1.23E+06	2.00E-02	2.6702462	4.127608	4	6
876.396	7.13E+04	5.48E-04	2.66996	4.0842783	6	4
876.705	7.81E+04	4.50E-04	2.6702462	4.0840647	4	2
890.219	2.05E+06	3.25E-02	2.66996	4.062317	6	8
890.219	1.37E+05	1.63E-03	2.66996	4.062317	6	6
890.402	1.91E+06	3.41E-02	2.6702462	4.062317	4	6
892.331	5.23E+04	1.25E-03	2.6069601	3.996024	2	4
892.544	4.77E+04	5.70E-04	2.6069601	3.995693	2	2
934.724	1.14E+05	9.92E-04	2.66996	3.996024	6	4
934.925	1.27E+04	1.66E-04	2.6702462	3.996024	4	4
935.159	1.24E+05	8.16E-04	2.6702462	3.995693	4	2
959.57	3.45E+06	6.35E-02	2.66996	3.961688	6	8
959.57	2.29E+05	3.17E-03	2.66996	3.961688	6	6
959.783	3.21E+06	6.65E-02	2.6702462	3.961688	4	6
994.967	1.24E+05	3.68E-03	2.6069601	3.852735	2	4
995.414	1.15E+05	1.71E-03	2.6069601	3.852177	2	2
